Country,Country Code,Region,GDP_1995,GDP_2022,POP_1995,POP_2022
Afghanistan,AFG,South Asia,..,..,16418912,41128771
Albania,ALB,Europe & Central Asia,4743489169,14318133325,3187784,2775634
Algeria,DZA,Middle East & North Africa,81507170569,1.79E+11,28478022,44903225
American Samoa,ASM,East Asia & Pacific,..,..,53401,44273
Andorra,AND,Europe & Central Asia,1765217871,3148858814,62928,79824
Angola,AGO,Sub-Saharan Africa,22468652665,81810123786,13912253,35588987
Antigua and Barbuda,ATG,Latin America & Caribbean,824511645.8,1545724465,68398,93763
Argentina,ARG,Latin America & Caribbean,3.48E+11,5.98E+11,34946110,46234830
Armenia,ARM,Europe & Central Asia,3083849045,14212005909,3322782,2780469
Aruba,ABW,Latin America & Caribbean,2147271244,..,77050,106445
Australia,AUS,East Asia & Pacific,7.09E+11,1.58E+12,18004882,25978935
Austria,AUT,Europe & Central Asia,2.69E+11,4.25E+11,7948278,9042528
Azerbaijan,AZE,Europe & Central Asia,8472532411,56692470658,7684850,10175016
"Bahamas, The",BHS,Latin America & Caribbean,8445867233,12321675107,299554,409984
Bahrain,BHR,Middle East & North Africa,12505919514,35915819622,612934,1472233
Bangladesh,BGD,South Asia,65927663003,3.06E+11,117793338,171186372
Barbados,BRB,Latin America & Caribbean,3732980006,4578153441,262303,281635
Belarus,BLR,Europe & Central Asia,19230538346,57251850481,10193831,9208701
Belgium,BEL,Europe & Central Asia,3.18E+11,5.14E+11,10136811,11669446
Belize,BLZ,Latin America & Caribbean,1022231222,2571581674,203556,405272
Benin,BEN,Sub-Saharan Africa,4863513136,16765953415,6046511,13352864
Bermuda,BMU,North America,5348359016,6757261643,59746,63532
Bhutan,BTN,South Asia,498208980.6,..,527536,782455
Bolivia,BOL,Latin America & Caribbean,14637304838,38119620567,7841471,12224110
Bosnia and Herzegovina,BIH,Europe & Central Asia,2942734211,20213105098,3750527,3233526
Botswana,BWA,Sub-Saharan Africa,6593427642,17510072709,1543634,2630296
Brazil,BRA,Latin America & Caribbean,1.07E+12,1.90E+12,163515328,215313498
British Virgin Islands,VGB,Latin America & Caribbean,..,..,17674,31305
Brunei Darussalam,BRN,East Asia & Pacific,10622683370,13000434170,299097,449002
Bulgaria,BGR,Europe & Central Asia,33837556161,61434010665,8406067,6465097
Burkina Faso,BFA,Sub-Saharan Africa,3685636779,16589097723,10353263,22673762
Burundi,BDI,Sub-Saharan Africa,2100894458,3379450984,5932783,12889576
Cabo Verde,CPV,Sub-Saharan Africa,521911300.3,2160756579,411382,593149
Cambodia,KHM,East Asia & Pacific,4137653519,24945858694,10919528,16767842
Cameroon,CMR,Sub-Saharan Africa,13868353888,40351885592,13211647,27914536
Canada,CAN,North America,9.56E+11,1.75E+12,29302311,38929902
Cayman Islands,CYM,Latin America & Caribbean,..,..,32802,68706
Central African Republic,CAF,Sub-Saharan Africa,1567392310,2022834654,3276706,5579144
Chad,TCD,Sub-Saharan Africa,2755538901,10462164585,6888856,17723315
Channel Islands,CHI,Europe & Central Asia,..,..,142559,174079
Chile,CHL,Latin America & Caribbean,1.05E+11,2.81E+11,14416796,19603733
China,CHN,East Asia & Pacific,1.83E+12,1.63E+13,1204855000,1412175000
Colombia,COL,Latin America & Caribbean,1.50E+11,3.56E+11,35970101,51874024
Comoros,COM,Sub-Saharan Africa,549132860,1140337215,483760,836774
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,20181816404,52355494700,43285791,99010212
"Congo, Rep.",COG,Sub-Saharan Africa,5723835105,8983401630,2742309,5970424
Costa Rica,CRI,Latin America & Caribbean,24537080463,69286276847,3572856,5180829
Cote d'Ivoire,CIV,Sub-Saharan Africa,24468419440,68438760123,14299727,28160542
Croatia,HRV,Europe & Central Asia,33746209213,63502675644,4620030,3854000
Cuba,CUB,Latin America & Caribbean,36587960794,..,10926703,11212191
Curacao,CUW,Latin America & Caribbean,..,..,145139,149996
Cyprus,CYP,Europe & Central Asia,12661788238,26943031722,862418,1251488
Czechia,CZE,Europe & Central Asia,1.16E+11,2.16E+11,10327253,10526073
Denmark,DNK,Europe & Central Asia,2.27E+11,3.55E+11,5233373,5903037
Djibouti,DJI,Middle East & North Africa,..,3308631058,629619,1120849
Dominica,DMA,Latin America & Caribbean,380503164.2,535335895.3,69201,72737
Dominican Republic,DOM,Latin America & Caribbean,26116602318,98050971411,7869753,11228821
Ecuador,ECU,Latin America & Caribbean,50573908255,1.01E+11,11561683,18001000
"Egypt, Arab Rep.",EGY,Middle East & North Africa,1.36E+11,4.54E+11,64166908,110990103
El Salvador,SLV,Latin America & Caribbean,15980263628,27094742636,5748195,6336392
Equatorial Guinea,GNQ,Sub-Saharan Africa,352638311.6,9833929125,560740,1674908
Eritrea,ERI,Sub-Saharan Africa,1633788955,..,2157220,3684032
