Sector,Sub-Sector,Exports_1995,Exports_1996,Exports_1997,Exports_1998,Exports_1999,Exports_2000,Exports_2001,Exports_2002,Exports_2003,Exports_2004,Exports_2005,Exports_2006,Exports_2007,Exports_2008,Exports_2009,Exports_2010,Exports_2011,Exports_2012,Exports_2013,Exports_2014,Exports_2015,Exports_2016,Exports_2017,Exports_2018,Exports_2019,Exports_2020,Exports_2021
Agriculture,Agriculture,35900000.00,51700000.00,45100000.00,38900000.00,33800000.00,34100000.00,22200000.00,17900000.00,21800000.00,43100000.00,46900000.00,62100000.00,59500000.00,132000000.00,79400000.00,97900000.00,173000000.00,269000000.00,183000000.00,216000000.00,153000000.00,154000000.00,194000000.00,219000000.00,306000000.00,299000000.00,411000000.00
Manufacturing,Chemicals,1020000.00,374000.00,443000.00,264000.00,829000.00,424000.00,613000.00,1460000.00,1910000.00,314000.00,4090000.00,3030000.00,4730000.00,3890000.00,2390000.00,3440000.00,4090000.00,6720000.00,7170000.00,7470000.00,5450000.00,6150000.00,6980000.00,9070000.00,12900000.00,15300000.00,21800000.00
Manufacturing,Electronics,124000.00,1220000.00,783000.00,435000.00,73600.00,403000.00,292000.00,460000.00,1750000.00,883000.00,1750000.00,958000.00,1340000.00,1380000.00,8190000.00,1530000.00,2150000.00,1800000.00,2220000.00,6160000.00,5580000.00,4750000.00,5420000.00,9180000.00,11100000.00,12400000.00,12500000.00
Manufacturing,Machinery,183000.00,569000.00,800000.00,651000.00,219000.00,626000.00,669000.00,2960000.00,661000.00,1140000.00,4380000.00,2370000.00,2880000.00,2460000.00,7410000.00,3680000.00,4560000.00,4510000.00,6060000.00,17000000.00,10600000.00,7020000.00,4010000.00,13100000.00,10400000.00,6800000.00,38200000.00
Mining,Metals,265000.00,134000.00,604000.00,1020000.00,910000.00,2460000.00,699000.00,501000.00,925000.00,502000.00,3950000.00,4120000.00,2580000.00,3140000.00,5150000.00,13400000.00,6660000.00,16600000.00,7460000.00,17300000.00,7320000.00,10000000.00,12800000.00,19500000.00,13300000.00,20100000.00,36200000.00
Mining,Minerals,2370000.00,1940000.00,4900000.00,6140000.00,8050000.00,11700000.00,161000000.00,72000000.00,67300000.00,256000000.00,39000000.00,34300000.00,57900000.00,112000000.00,89400000.00,94600000.00,208000000.00,199000000.00,231000000.00,301000000.00,158000000.00,137000000.00,164000000.00,198000000.00,185000000.00,123000000.00,225000000.00
Other,Other,,,,,,1430000.00,84500.00,3120000.00,201000.00,321000.00,115000.00,139000.00,1130000.00,667000.00,8210000.00,303000.00,369000.00,533000.00,768000.00,15700000.00,13300000.00,4470000.00,5370000.00,18700000.00,142000000.00,288000000.00,456000000.00
Services,Services,,,,,,,,,,,,,,,,405000000.00,489000000.00,530000000.00,596000000.00,605000000.00,767000000.00,790000000.00,863000000.00,914000000.00,1010000000.00,521000000.00,579000000.00
Mining,Stone,447000.00,58500.00,28400000.00,23600000.00,2340000.00,346000.00,54300.00,541000.00,182000.00,258000.00,82600.00,353000.00,219000.00,2740000.00,682000.00,447000.00,4690000.00,1410000.00,2000000.00,7910000.00,60300000.00,154000000.00,295000000.00,540000000.00,418000000.00,635000000.00,322000000.00
Manufacturing,Textiles,432000.00,674000.00,938000.00,1370000.00,357000.00,158000.00,900000.00,1860000.00,1040000.00,993000.00,2280000.00,1100000.00,1580000.00,3060000.00,14900000.00,3700000.00,5880000.00,8770000.00,8670000.00,7800000.00,10900000.00,8460000.00,11700000.00,16300000.00,19000000.00,20100000.00,29100000.00
Manufacturing,Vehicles,255000.00,670000.00,286000.00,92600.00,60400.00,74000.00,1100000.00,1030000.00,1510000.00,1500000.00,3030000.00,4100000.00,4810000.00,4020000.00,19400000.00,3110000.00,11800000.00,19600000.00,8610000.00,10900000.00,17200000.00,6990000.00,6640000.00,13100000.00,13600000.00,9300000.00,9190000.00
